Name,Points Played,Points Won,Points Lost,Posessions played,Offensive Posessions,Defensive Posessions,Scores per 100 Points,Assists per 100 Points,Ds per 100 Posessions,Completed throws per 100 Posessions,Catches per 100 Posessions,Turnover Percentage,Assist Percentage,Assist to Turnover Ratio,Score Percentage,Drop Percentage,Complete Throws,Catches,Turnovers,Drops,Assists,Scores,Ds,Involvements,Throws to dropper,Disc Pickups
KG,50,31,19,183,96,87,6,20,7,96,70,19%,9%,0.48,4%,1%,92,67,21,1,10,3,6,119,2,51
Max,52,33,19,177,92,85,2,15,0,98,61,6%,8%,1.33,2%,2%,90,56,6,1,8,1,0,100,2,43
Wes,21,11,10,78,40,38,24,5,5,48,63,0%,5%,0,20%,0%,19,25,0,0,1,5,2,25,1,0
Paul,30,17,13,106,58,48,3,10,10,29,36,15%,15%,1,4%,9%,17,21,3,2,3,1,5,24,1,1
JJ,20,13,7,76,40,36,10,15,6,38,48,21%,16%,0.75,10%,5%,15,19,4,1,3,2,2,23,1,3
Jamie,62,41,21,226,119,107,26,3,4,28,47,18%,5%,0.29,27%,5%,33,56,7,3,2,16,4,60,1,1
Shiro,57,33,24,211,110,101,2,5,4,34,36,12%,7%,0.6,2%,5%,37,40,5,2,3,1,4,49,4,7
Jocelyn,49,29,20,215,109,106,4,2,1,15,20,11%,6%,0.5,9%,4%,16,22,2,1,1,2,1,23,2,0
Harrison,42,25,17,177,89,88,10,19,13,57,47,23%,12%,0.53,9%,5%,51,42,15,2,8,4,11,73,1,29
Hinman,40,24,16,156,78,78,8,8,8,72,76,16%,4%,0.27,5%,0%,56,59,11,0,3,3,6,73,3,14
Cheek,43,22,21,199,97,102,7,21,8,58,59,25%,12%,0.47,5%,0%,56,57,19,0,9,3,8,81,3,24
Chloe,41,23,18,203,99,104,12,5,2,11,18,21%,14%,0.67,24%,14%,11,18,3,3,2,5,2,22,0,1
Lauren,45,26,19,217,106,111,13,4,4,13,20,13%,13%,1,27%,5%,14,21,2,1,2,6,4,23,0,1
Colton,39,22,17,185,93,92,15,8,7,48,55,6%,6%,1,12%,0%,45,51,3,0,3,6,6,54,0,3
Doc,15,10,5,74,36,38,7,0,3,22,28,20%,0%,0,10%,0%,8,10,2,0,0,1,1,11,0,1
Shane,10,4,6,39,17,22,10,0,9,24,24,0%,0%,0,25%,0%,4,4,0,0,0,1,2,5,0,1
Katrina,46,24,22,208,102,106,2,0,3,48,51,27%,0%,0,2%,4%,49,52,18,2,0,1,3,73,3,19
Maturo,27,14,13,122,61,61,4,11,0,66,41,18%,6%,0.33,4%,0%,40,25,9,0,3,1,0,50,0,25
Bradley,37,16,21,143,71,72,0,11,4,62,54,17%,8%,0.44,0%,3%,44,38,9,1,4,0,3,58,4,19
Samson,28,11,17,97,46,51,4,4,0,59,57,18%,3%,0.17,4%,4%,27,26,6,1,1,1,0,35,0,8
Stacie,34,18,16,131,65,66,0,6,8,12,12,20%,20%,1,0%,0%,8,8,2,0,2,0,5,10,0,2
Nate,20,8,12,86,42,44,10,15,7,40,50,29%,13%,0.43,9%,5%,17,21,7,1,3,2,3,27,0,5
Wags,25,13,12,93,46,47,12,0,2,20,33,31%,0%,0,16%,21%,9,15,4,4,0,3,1,20,0,1
Lisa,23,12,11,98,49,49,0,0,2,6,6,0%,0%,0,0%,0%,3,3,0,0,0,0,1,3,0,0
Jenna,21,10,11,97,48,49,5,0,4,13,15,14%,0%,0,13%,13%,6,7,1,1,0,1,2,9,0,1
Jennifer,12,7,5,36,18,18,17,0,0,0,17,100%,0%,0,50%,25%,0,3,1,1,0,2,0,4,0,0
